item,subj,onset,Exp,structure,position,ExpID
21,5,963,3a,simple,below,1
21,12,NA,3a,simple,below,1
21,1,1411,3a,simple,below,1
21,3,NA,3a,simple,below,1
21,4,1005,3a,simple,below,1
36,8,854,3a,simple,below,1
36,5,721,3a,simple,below,1
36,12,1658,3a,simple,below,1
36,1,1439,3a,simple,below,1
36,3,998,3a,simple,below,1
36,4,NA,3a,simple,below,1
39,8,884,3a,simple,below,1
39,5,NA,3a,simple,below,1
39,12,NA,3a,simple,below,1
39,1,NA,3a,simple,below,1
39,3,942,3a,simple,below,1
39,4,947,3a,simple,below,1
45,8,1144,3a,simple,below,1
45,5,891,3a,simple,below,1
45,12,1025,3a,simple,below,1
45,1,1499,3a,simple,below,1
45,3,1374,3a,simple,below,1
45,4,934,3a,simple,below,1
3,8,989,3a,simple,below,1
3,5,1080,3a,simple,below,1
3,12,1568,3a,simple,below,1
3,1,1105,3a,simple,below,1
3,3,1293,3a,simple,below,1
3,4,815,3a,simple,below,1
20,8,876,3a,simple,below,1
20,5,1088,3a,simple,below,1
20,12,736,3a,simple,below,1
20,1,NA,3a,simple,below,1
20,3,1069,3a,simple,below,1
20,4,930,3a,simple,below,1
47,8,935,3a,simple,below,1
47,5,1064,3a,simple,below,1
47,12,NA,3a,simple,below,1
47,1,1432,3a,simple,below,1
47,3,1092,3a,simple,below,1
47,4,931,3a,simple,below,1
13,8,752,3a,simple,below,1
13,5,1099,3a,simple,below,1
13,12,673,3a,simple,below,1
13,1,1042,3a,simple,below,1
13,3,1109,3a,simple,below,1
13,4,794,3a,simple,below,1
19,8,846,3a,simple,below,1
19,5,968,3a,simple,below,1
19,12,NA,3a,simple,below,1
19,1,1020,3a,simple,below,1
19,3,1072,3a,simple,below,1
19,4,2183,3a,simple,below,1
35,8,1559,3a,simple,below,1
35,5,1042,3a,simple,below,1
35,12,826,3a,simple,below,1
35,1,1831,3a,simple,below,1
35,3,1265,3a,simple,below,1
35,4,817,3a,simple,below,1
1,8,855,3a,simple,below,1
1,5,1043,3a,simple,below,1
1,12,822,3a,simple,below,1
1,1,1182,3a,simple,below,1
1,3,865,3a,simple,below,1
1,4,695,3a,simple,below,1
9,8,746,3a,simple,below,1
9,5,1319,3a,simple,below,1
9,12,865,3a,simple,below,1
9,1,1019,3a,simple,below,1
9,3,1048,3a,simple,below,1
9,4,NA,3a,simple,below,1
32,8,780,3a,simple,below,1
32,5,1134,3a,simple,below,1
32,12,796,3a,simple,below,1
32,1,1790,3a,simple,below,1
32,3,NA,3a,simple,below,1
32,4,1053,3a,simple,below,1
